 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-1,,,,2025-2,,,,2025-1,,,,2024-2,,,,2024-1,,,,2023-2,,,2023-1,,2022-2,,2022-1,,2021-2,,2021-1,,2020-2,,2020-1,
 ,Nombre del Proyecto,Descripción,Estado,URL del proyec149to,Nombre del Proyecto,Descripción,Estado,URL del proyecto,Nombre del Proyecto,Descripción,Estado,URL del proyecto,Nombre del Proyecto,Descripción,Estado,URL del proyecto,Nombre del Proyecto,Descripción,Estado,URL del proyecto,Nombre del Proyecto,Descripción,URL del Git del Proyecto,Nombre del Proyecto,Descripción,Nombre del Proyecto,Descripción,Nombre del Proyecto,Descripción,Nombre del Proyecto,Descripción,Nombre del Proyecto,Descripción,Nombre del Proyecto ,Descripción,Nombre del Proyecto,Descripción del Proyecto integrador
1A,VisionAstra,"VisionAstra es una plataforma SaaS de marketing digital impulsada por inteligencia artificial que permite a empresas y agencias crear, automatizar, programar y analizar campañas de contenido desde un solo lugar, integrando módulos como gestión de usuarios, campañas, recursos multimedia, editor creativo, timeline de publicaciones, automatización, calendario, brand kit y métricas para optimizar de forma integral el flujo de trabajo del marketing digital.",,,MuniApp,"La Aplicación Municipal Inteligente con IA es una plataforma innovadora que transforma la manera en que los ciudadanos interactúan con su municipalidad, ofreciendo un entorno digital accesible, participativo y moderno, donde los vecinos pueden reportar incidencias urbanas en tiempo real, dar seguimiento a sus trámites, recibir asistencia inmediata mediante un asistente virtual impulsado por inteligencia artificial, acceder a un mapa interactivo con el estado de su ciudad y colaborar validando reportes de otros, fomentando la participación ciudadana, la transparencia en la gestión urbana y la construcción de comunidades más seguras, ordenadas y conectadas.",,,,"Es una plataforma innovadora que combine diseño intuitivo y tecnología avanzada que permite a los estudiantes interactuar con materiales educativos de manera personalizada y eficiente. A través de la integración de inteligencia artificial, nuestra aplicación será capaz de resumir contenido de manera automática y generar tareas personalizadas, optimizando el proceso de aprendizaje.",,,FruitCommerce,"FruitCommerce es una plataforma digital diseñada para mejorar la interacción entre comerciantes minoristas y mayoristas del Mercado de Frutas. La solución permite centralizar y automatizar el proceso de compra y venta de productos, brindando a los usuarios acceso a información actualizada sobre tendencias de precios estacionales, comparaciones entre distintos proveedores, y herramientas avanzadas para tomar decisiones informadas. Además, incorpora Inteligencia Artificial para ofrecer asistencia personalizada, recomendando productos y precios según las necesidades del cliente, optimizando así las oportunidades de negocio.",,,InnovaTek,Tienda Online WEB/Móvil de Componentes para computadora,,,Tec&Trade,"Es un software diseñado para facilitar la compra y venta de artículos nuevos o usados entre miembros de la comunidad Tecsup, fomentando el bienestar económico y ambiental de los miembros de nuestra institución.",,Funkeate,"Plataforma E-commerce enfocado en agilizar el diseño y la venta de funkos personalizados para una microempresa local. Sistema de ventas, carrito de compras,  catálogo de productos, creación de diseños personalizados en linea.
",Alert-B,"Una aplicación tanto para web como para movil, dependiendo del dispositivo que se use va a tener distintas funcionalidades, por ejemplo para su funcionamiento en la web consta de una serie de preguntas para verificar el estado de animo, nivel de estres, etc, para posteriormente verificar si existe o no un caso de bullying. Ahora su funcionamiento en los smartphones va permitir el monitoreo del usuario, este monitoreo se vasa en realizar una serie de preguntas al usuario de manera interdiaria; para que el usuario no se canse de responder siempre las mismas preguntas se utilizara I.A. para simular una conversación real y para complementar se usaria un dispositivo capaz de medir los elementos necesarios de la personas para realizar un diagnostico mas preciso, posteriormente los resultados que se obtengan de las conversaciones se enviaran al tutor del usuario. ",My Virtual Academy,Una página web que se encarga de administrar una plataforma de estudios para una  institución educativa enfocada a dar cursos a un publico diverso.,NoTriTol,"NoTriTol es un sistema el cual administrará y gestionará los negocios de las MYPES y además informará de las ultimas noticias de economia, alza de productos y todo relacionado sobre el tipo de negocio de la empresa con la cual trabajaremos.",Altokpé,"Aplicación y Web en modo(Restaurant), ademas de la úbicacion sobre la tienda fisica. Administración de datos del producto, datos del cliente, gustos del cliente por recientes consumos.",PcPeru,La aplicacion web PcPeru se enfocara en el almacenaje de componentes en stock que se tiene en la empresa para poder comercializarlos a traves de la misma.,Kiraw,La plataforma “Kiraw” se enfocará en establecer un medio de conexión entre Clientes y Proveedores de componentes de computadoras en la región Peruana.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,,"Sistema web y móvil inteligente orientado a la asistencia inmediata en primeros auxilios dentro de entornos institucionales, hogares y espacios públicos. MediGuard AI integra inteligencia artificial y visión computacional para identificar síntomas o lesiones, brindar orientación preliminar en tiempo real y ofrecer protocolos básicos de respuesta ante emergencias. Además, incorpora geolocalización de centros de salud y contacto rápido con servicios médicos, facilitando una atención oportuna, preventiva y eficiente según el nivel de gravedad del caso.",,,HealthyLife,"HealthyLife es una plataforma de salud dirigida a los estudiantes de TECSUP, que sirva como una herramienta accesible y confiable para promover hábitos alimenticios saludables y prevenir el sobrepeso. El objetivo es brindar información, recomendaciones prácticas y recursos interactivos que motiven a los estudiantes a mejorar su estilo de vida, logrando un impacto positivo en su bienestar físico y académico.",,,GarmyShop,"GarmyShop es una tienda online creada para transformar la forma de comprar ropa en internet. Su principal diferencial es un chatbot con inteligencia artificial, disponible 24/7, que brinda atención personalizada, responde dudas, recomienda productos y acompaña al cliente durante toda su compra.
En GarmyShop, más que vender ropa, buscamos ofrecer una experiencia cercana, guiada y confiable.",,,TecLunch,"Este proyecto consiste en el desarrollo de una aplicación integral para la gestión del comedor en TECSUP, diseñada para mejorar la experiencia de los usuarios y optimizar la administración del servicio.  la plataforma permitirá a los usuarios reservar y pagar almuerzos de manera anticipada, mientras que los administradores podrán gestionar los menús, pagos y aforo del comedor de manera eficiente.",,,HelpTec,Será una aplicación donde los alumnos estarán dispuestos a ayudar en los cursos que otros alumnos tengan problemas en Tecsup. ,,,,"NaturShop es una tienda en línea de diseño y desarrollo de software que ofrece productos naturales seleccionados con elegancia y simplicidad. Desde suplementos orgánicos hasta productos de cuidado personal ecológicos, la plataforma combina tecnología moderna con la esencia de la naturaleza. NaturShop busca mejorar la calidad de vida de los clientes de manera más saludable y sostenible.  ",,NearbyEats,"Una aplicación web que utiliza la API de google maps y la API de google places para encontrar restaurantes cercanos a la ubicación del usuario y mostrar información detalla sobre ellos, incluyendo horarios, tipo de comida y reseñas de otro usuarios. La aplicación permite filtrar los resultados por horario y tipo de comida, y guardar restaurantes favoritos para acceder fácilmente a ellos en el futuro.",Supribull,"Supribull es un sistema de detección y prevención de bullying conformada por una página web que dota de ciertas herramientas y recursos para combatir, prevenir y reducir el bullying,",ContigoPE,Es una plataforma web  tipo E-commerce de venta de ropa y accesorios deportivos relacionados al mundial Qatar 2022.,,"x es una aplicacion que ayudara a facilitar a los usuarios la busqueda de hoteles, donde encontrara facilidad todo tipo de caracteristicas que el usuario crea lo mas conveniente para su sitio de hospedaje. Esto con ayuda de imagenes, mapas, reseñas de otros usuarios anteriores.",VitaMarket,"Nuestro proyecto se basa en la creación de una aplicación web y móvil para la pequeña empresa VitaMarket, que actualmente vende productos naturales y orgánicos de forma digital a través de las redes sociales en la ciudad de Trujillo. Esta micro-empresa ha optado por adquirir una aplicación web propia para expandir su rango de clientes, por lo que para lograr tan fin, se desorrollará una aplicación de comercio electrónico.",E-commerce App,"Nuestra aplicación es más que nada un e-commerce, es decir venta de productos de cualquier categoría mediante una página y/o aplicación web.",?,Control de seguridad en las viviendas mediante el desarrollo de un aplicativo con las características necesarias para tener un mejor control de lo que pasa en nuestras viviendas bajo el uso de todo tipo de sensores 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MediGuard AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
