ciclo,codigo_seccion,nombre,descripcion
2026-I,2026-I-1A,VisionAstra,"VisionAstra es una plataforma SaaS de marketing digital impulsada por inteligencia artificial que permite a empresas y agencias crear, automatizar, programar y analizar campañas de contenido desde un solo lugar, integrando módulos como gestión de usuarios, campañas, recursos multimedia, editor creativo, timeline de publicaciones, automatización, calendario, brand kit y métricas para optimizar de forma integral el flujo de trabajo del marketing digital."
2025-II,2025-II-1A,MuniApp,"La Aplicación Municipal Inteligente con IA es una plataforma innovadora que transforma la manera en que los ciudadanos interactúan con su municipalidad, ofreciendo un entorno digital accesible, participativo y moderno, donde los vecinos pueden reportar incidencias urbanas en tiempo real, dar seguimiento a sus trámites, recibir asistencia inmediata mediante un asistente virtual impulsado por inteligencia artificial, acceder a un mapa interactivo con el estado de su ciudad y colaborar validando reportes de otros, fomentando la participación ciudadana, la transparencia en la gestión urbana y la construcción de comunidades más seguras, ordenadas y conectadas."
2024-II,2024-II-1A,FruitCommerce,"FruitCommerce es una plataforma digital diseñada para mejorar la interacción entre comerciantes minoristas y mayoristas del Mercado de Frutas. La solución permite centralizar y automatizar el proceso de compra y venta de productos, brindando a los usuarios acceso a información actualizada sobre tendencias de precios estacionales, comparaciones entre distintos proveedores, y herramientas avanzadas para tomar decisiones informadas. Además, incorpora Inteligencia Artificial para ofrecer asistencia personalizada, recomendando productos y precios según las necesidades del cliente, optimizando así las oportunidades de negocio."
2024-I,2024-I-1A,InnovaTek,Tienda Online WEB/Móvil de Componentes para computadora
2023-II,2023-II-1A,Tec&Trade,"Es un software diseñado para facilitar la compra y venta de artículos nuevos o usados entre miembros de la comunidad Tecsup, fomentando el bienestar económico y ambiental de los miembros de nuestra institución."
2023-I,2023-I-1A,Funkeate,"Plataforma E-commerce enfocado en agilizar el diseño y la venta de funkos personalizados para una microempresa local. Sistema de ventas, carrito de compras,  catálogo de productos, creación de diseños personalizados en linea."
2022-II,2022-II-1A,Alert-B,"Una aplicación tanto para web como para movil, dependiendo del dispositivo que se use va a tener distintas funcionalidades, por ejemplo para su funcionamiento en la web consta de una serie de preguntas para verificar el estado de animo, nivel de estres, etc, para posteriormente verificar si existe o no un caso de bullying. Ahora su funcionamiento en los smartphones va permitir el monitoreo del usuario, este monitoreo se vasa en realizar una serie de preguntas al usuario de manera interdiaria; para que el usuario no se canse de responder siempre las mismas preguntas se utilizara I.A. para simular una conversación real y para complementar se usaria un dispositivo capaz de medir los elementos necesarios de la personas para realizar un diagnostico mas preciso, posteriormente los resultados que se obtengan de las conversaciones se enviaran al tutor del usuario."
2022-I,2022-I-1A,My Virtual Academy,Una página web que se encarga de administrar una plataforma de estudios para una  institución educativa enfocada a dar cursos a un publico diverso.
2021-II,2021-II-1A,NoTriTol,"NoTriTol es un sistema el cual administrará y gestionará los negocios de las MYPES y además informará de las ultimas noticias de economia, alza de productos y todo relacionado sobre el tipo de negocio de la empresa con la cual trabajaremos."
2021-I,2021-I-1A,Altokpé,"Aplicación y Web en modo(Restaurant), ademas de la úbicacion sobre la tienda fisica. Administración de datos del producto, datos del cliente, gustos del cliente por recientes consumos."
2020-II,2020-II-1A,PcPeru,La aplicacion web PcPeru se enfocara en el almacenaje de componentes en stock que se tiene en la empresa para poder comercializarlos a traves de la misma.
2025-II,2025-II-2A,HealthyLife,"HealthyLife es una plataforma de salud dirigida a los estudiantes de TECSUP, que sirva como una herramienta accesible y confiable para promover hábitos alimenticios saludables y prevenir el sobrepeso. El objetivo es brindar información, recomendaciones prácticas y recursos interactivos que motiven a los estudiantes a mejorar su estilo de vida, logrando un impacto positivo en su bienestar físico y académico."
2025-I,2025-I-2A,GarmyShop,"GarmyShop es una tienda online creada para transformar la forma de comprar ropa en internet. Su principal diferencial es un chatbot con inteligencia artificial, disponible 24/7, que brinda atención personalizada, responde dudas, recomienda productos y acompaña al cliente durante toda su compra.
En GarmyShop, más que vender ropa, buscamos ofrecer una experiencia cercana, guiada y confiable."
2024-II,2024-II-2A,TecLunch,"Este proyecto consiste en el desarrollo de una aplicación integral para la gestión del comedor en TECSUP, diseñada para mejorar la experiencia de los usuarios y optimizar la administración del servicio.  la plataforma permitirá a los usuarios reservar y pagar almuerzos de manera anticipada, mientras que los administradores podrán gestionar los menús, pagos y aforo del comedor de manera eficiente."
2024-I,2024-I-2A,HelpTec,Será una aplicación donde los alumnos estarán dispuestos a ayudar en los cursos que otros alumnos tengan problemas en Tecsup.
2023-I,2023-I-2A,NearbyEats,"Una aplicación web que utiliza la API de google maps y la API de google places para encontrar restaurantes cercanos a la ubicación del usuario y mostrar información detalla sobre ellos, incluyendo horarios, tipo de comida y reseñas de otro usuarios. La aplicación permite filtrar los resultados por horario y tipo de comida, y guardar restaurantes favoritos para acceder fácilmente a ellos en el futuro."
2022-II,2022-II-2A,Supribull,"Supribull es un sistema de detección y prevención de bullying conformada por una página web que dota de ciertas herramientas y recursos para combatir, prevenir y reducir el bullying,"
2022-I,2022-I-2A,ContigoPE,Es una plataforma web  tipo E-commerce de venta de ropa y accesorios deportivos relacionados al mundial Qatar 2022.
2021-I,2021-I-2A,VitaMarket,"Nuestro proyecto se basa en la creación de una aplicación web y móvil para la pequeña empresa VitaMarket, que actualmente vende productos naturales y orgánicos de forma digital a través de las redes sociales en la ciudad de Trujillo. Esta micro-empresa ha optado por adquirir una aplicación web propia para expandir su rango de clientes, por lo que para lograr tan fin, se desorrollará una aplicación de comercio electrónico."
2020-II,2020-II-2A,E-commerce App,"Nuestra aplicación es más que nada un e-commerce, es decir venta de productos de cualquier categoría mediante una página y/o aplicación web."
2025-II,2025-II-3A,LearnArena,"LearnArena es una plataforma interactiva de quizzes tipo Kahoot, diseñada para hacer del aprendizaje y la evaluación una experiencia más dinámica y entretenida. Permite a usuarios participar en juegos de preguntas en tiempo real, acceder desde web o dispositivos móviles, y generar cuestionarios automáticamente mediante IA generativa."
